value,full_text,display_text,selected
555_1,ISS Suzano AGENTE FISCAL TRIBUTÁRIO,ISS Suzano AGENTE FISCAL TRIBUTÁRIO,False
12_1,ISS Teresina Auditor Fiscal da Receita Municipal,ISS Teresi... Auditor Fiscal da Receita Municipal,False
487_1,ISS Uberaba AUDITOR FISCAL DA RECEITA MUNICIPAL/AUDITOR FISCAL DA RECEITA MUNICIPAL,ISS Uberab... AUDITOR FISCAL DA RECEITA MUNICIPAL/AUDITOR FISCAL DA RECEITA MUNICIPAL,False
37_1,ISS Uberlandia Auditor Fiscal Tributário,ISS Uberla... Auditor Fiscal Tributário,False
650_1,ISS Uberlândia 25 AUDITOR FISCAL TRIBUTÁRIO,ISS Uberlâ... AUDITOR FISCAL TRIBUTÁRIO,False
276_1,ISS Valinhos Auditor Fiscal,ISS Valinh... Auditor Fiscal,False
720_1,ISS Varginha AGENTE FISCAL,ISS Vargin... AGENTE FISCAL,False
720_2,ISS Varginha AUDITOR FISCAL TRIBUTÁRIO,ISS Vargin... AUDITOR FISCAL TRIBUTÁRIO,False
176_2,RFB Ana,RFB Ana,False
176_1,RFB Auditor,RFB Auditor,False
436_1,RFB 09 Auditor Fiscal,RFB 09 Auditor Fiscal,False
435_1,RFB 14 Auditor Fiscal,RFB 14 Auditor Fiscal,False
70_1,SEFA PA Auditor Fiscal de Receitas Estaduais,SEFA PA Auditor Fiscal de Receitas Estaduais,False
70_2,SEFA PA Fiscal de Receitas Estaduais,SEFA PA Fiscal de Receitas Estaduais,False
277_1,SEFAZ AC Auditor da Receita Estadual,SEFAZ AC Auditor da Receita Estadual,False
277_2,SEFAZ AC Contador,SEFAZ AC Contador,False
277_3,SEFAZ AC Especialista da Fazenda Estadual,SEFAZ AC Especialista da Fazenda Estadual,False
277_4,SEFAZ AC Tec da Fazenda Estadua,SEFAZ AC Tec da Fazenda Estadua,False
1_1,SEFAZ AL 19 Auditor de Finanças e Controle,SEFAZ AL 1... Auditor de Finanças e Controle,False
1_2,SEFAZ AL 19 Auditor Fiscal da Receita Estadual,SEFAZ AL 1... Auditor Fiscal da Receita Estadual,False
