value,full_text,display_text,selected
180_1,SEFAZ MT Fiscal de Tributos Estaduais (FTE),SEFAZ MT Fiscal de Tributos Estaduais (FTE),false
145_1,SEFAZ PE Auditor Fiscal do Tesouro Estadual,SEFAZ PE Auditor Fiscal do Tesouro Estadual,false
106_2,SEFAZ PE Apoio Ana Administrativo de Ap as Atividades Fazendárias,SEFAZ PE A... Ana Administrativo de Ap as Atividades Fazendárias,false
106_1,SEFAZ PE Apoio Assistente Administrativo de Ap as Atividades Fazendárias,SEFAZ PE A... Assistente Administrativo de Ap as Atividades Fazendárias,false
614_1,SEFAZ PI 25 A 01 AG DE TRIB DA FAZ ESTADUAL ÁREA CONHEC GERAL,SEFAZ PI 2... A 01 AG DE TRIB DA FAZ ESTADUAL ÁREA CONHEC GERAL,false
614_2,SEFAZ PI 25 B 02 AG DE TRIB DA FAZ ESTADUAL ÁREA CONHEC TEC INFORM,SEFAZ PI 2... B 02 AG DE TRIB DA FAZ ESTADUAL ÁREA CONHEC TEC INFORM,false
614_3,SEFAZ PI 25 C 03 AN DO TESOURO ESTADUAL ÁREA CONHEC GERAL,SEFAZ PI 2... C 03 AN DO TESOURO ESTADUAL ÁREA CONHEC GERAL,false
614_4,SEFAZ PI 25 D 04 AN DO TESOURO ESTADUAL ÁREA CONHEC TEC DA INFORM,SEFAZ PI 2... D 04 AN DO TESOURO ESTADUAL ÁREA CONHEC TEC DA INFORM,false
614_5,SEFAZ PI 25 E 05 AUD FISC DA FAZ ESTADUAL ÁREA CONHEC GERAL,SEFAZ PI 2... E 05 AUD FISC DA FAZ ESTADUAL ÁREA CONHEC GERAL,false
614_6,SEFAZ PI 25 F 06 AUD FISC DA FAZ ESTADUAL/ÁREA CONHEC TEC DA INFORM,SEFAZ PI 2... F 06 AUD FISC DA FAZ ESTADUAL/ÁREA CONHEC TEC DA INFORM,false
614_7,SEFAZ PI 25 G 07 AUD GOVERNAMENTAL ÁREA CONHEC GERAL,SEFAZ PI 2... G 07 AUD GOVERNAMENTAL ÁREA CONHEC GERAL,false
614_8,SEFAZ PI 25 H 08 AUD GOVERNAMENTAL ÁREA CONHEC TEC DA INFORMAÇÃO,SEFAZ PI 2... H 08 AUD GOVERNAMENTAL ÁREA CONHEC TEC DA INFORMAÇÃO,false
614_9,SEFAZ PI 25 I 09 AUD GOVERNAMENTAL ÁREA CONHEC ENGENHARIA,SEFAZ PI 2... I 09 AUD GOVERNAMENTAL ÁREA CONHEC ENGENHARIA,false
567_1,SEFAZ PR Auditor Fiscal,SEFAZ PR Auditor Fiscal,false
719_1,SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ADMINISTRADOR,SEFAZ PR A... AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ADMINISTRADOR,false
719_2,SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ANA FAZENDÁRIO,SEFAZ PR A... AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ANA FAZENDÁRIO,false
719_3,SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: CONTADOR,SEFAZ PR A... AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: CONTADOR,false
719_4,SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ECONOMISTA,SEFAZ PR A... AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ECONOMISTA,false
719_5,SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ESTATÍSTICO,SEFAZ PR A... AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ESTATÍSTICO,false
719_6,SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: PROFISSIONAL DE TECNOLOGIA DA INFORMAÇÃO,SEFAZ PR A... AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: PROFISSIONAL DE TECNOLOGIA DA INFORMAÇÃO,false
569_1,SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: ADMINISTRATIVO/FINANCEIRA,SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: ADMINISTRATIVO/FINANCEIRA,false
569_2,SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: CONTÁBIL/FINANCEIRA,SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: CONTÁBIL/FINANCEIRA,false
569_3,SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: ECONÔMICO/FINANCEIRA,SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: ECONÔMICO/FINANCEIRA,false
749_1,SEFAZ RJ 2025 AUDITOR FISCAL DA RECEITA ESTADUAL,SEFAZ RJ 2... AUDITOR FISCAL DA RECEITA ESTADUAL,false
6_1,SEFAZ RR Auditor Fiscal de Tributos Estadual,SEFAZ RR Auditor Fiscal de Tributos Estadual,false
175_1,SEFAZ RR TEC DE TRIBUTOS ESTADUAIS,SEFAZ RR TEC DE TRIBUTOS ESTADUAIS,false
24_1,SEFAZ RS 17 Auditor do Estado do Rio Grande do Sul,SEFAZ RS 1... Auditor do Estado do Rio Grande do Sul,false
