contest_name,contest_value,source_url,page_title,fetched_at,candidates_count,named_count,inside_vacancies_count
ISS Porto Alegre Auditor Fiscal da Receita Municipal,34_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=34_1&tV=0,Ranking dos Concursos,2026-04-20T15:28:08.387Z,189,133,2
ISS Porto Alegre 25 Auditor Fiscal da Receita Municipal,492_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=492_1&tV=0,Ranking dos Concursos,2026-04-20T15:28:39.726Z,404,5,0
ISS Ribeirao das Neves AUDITOR FISCAL,386_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=386_2&tV=0,Ranking dos Concursos,2026-04-20T15:28:44.490Z,42,0,0
ISS Ribeirao Preto Auditor (Fiscal Fazendário),302_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=302_1&tV=0,Ranking dos Concursos,2026-04-20T15:29:47.153Z,880,0,6
ISS Rio de Janeiro Fiscal de Rendas,212_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=212_1&tV=0,Ranking dos Concursos,2026-04-20T15:30:50.342Z,892,26,37
ISS S.J. Rio Preto Auditor Fiscal Tributário,38_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=38_1&tV=0,Ranking dos Concursos,2026-04-20T15:31:00.693Z,118,0,9
ISS Salvador Ana: Administra,39_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=39_1&tV=0,Ranking dos Concursos,2026-04-20T15:31:25.949Z,298,0,29
ISS Salvador Auditor: Administra,39_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=39_2&tV=0,Ranking dos Concursos,2026-04-20T15:31:37.054Z,129,0,17
ISS Salvador Auditor: Tecnologia da Informa,39_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=39_3&tV=0,Ranking dos Concursos,2026-04-20T15:31:43.730Z,67,0,7
ISS Santa Barbara Fiscal de Rendas,251_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=251_1&tV=0,Ranking dos Concursos,2026-04-20T15:31:48.971Z,47,1,3
ISS SANTOS AUDITOR FISCAL DE TRIBUTOS,222_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=222_1&tV=0,Ranking dos Concursos,2026-04-20T15:31:53.476Z,46,10,2
ISS Santos Auditor Fiscal de Tributos Municipais,46_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=46_1&tV=0,Ranking dos Concursos,2026-04-20T15:31:58.842Z,43,0,1
ISS Sao Bernardo do Campo Auditor Fiscal de Rendas Municipais,303_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=303_1&tV=0,Ranking dos Concursos,2026-04-20T15:32:58.456Z,681,5,6
ISS Sao Caetano do Sul Auditor Fiscal Tributário,250_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=250_1&tV=0,Ranking dos Concursos,2026-04-20T15:33:19.653Z,233,1,2
ISS Sao José dos Campos Auditor Tributário Municipal,241_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=241_1&tV=0,Ranking dos Concursos,2026-04-20T15:33:25.899Z,75,19,1
ISS Sao Luis Auditor Fiscal de Tributos,44_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=44_1&tV=0,Ranking dos Concursos,2026-04-20T15:33:36.928Z,136,19,7
ISS Sao Luis Auditor Fiscal de Tributos: TI,44_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=44_2&tV=0,Ranking dos Concursos,2026-04-20T15:33:39.381Z,8,0,2
ISS SEPLAG Niteroi ANA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL SEPLAG GESTÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,611_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=611_1&tV=0,Ranking dos Concursos,2026-04-20T15:33:41.509Z,3,0,0
ISS SEPLAG Niteroi ANA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL SEPLAG GESTÃO GOVERNAMENTAL,611_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=611_2&tV=0,Ranking dos Concursos,2026-04-20T15:33:47.949Z,57,1,0
ISS SEPLAG Niteroi AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM CIÊNCIAS CONTÁBEIS,611_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=611_3&tV=0,Ranking dos Concursos,2026-04-20T15:33:51.287Z,19,0,0
ISS SEPLAG Niteroi AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM CONTROLE INTERNO,611_4,https://www.rankingdosconcursos.com.br/?tC=2&sCa=611_4&tV=0,Ranking dos Concursos,2026-04-20T15:33:54.462Z,16,0,0
ISS SEPLAG Niteroi AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM DIREITO,611_5,https://www.rankingdosconcursos.com.br/?tC=2&sCa=611_5&tV=0,Ranking dos Concursos,2026-04-20T15:33:57.806Z,18,0,0
ISS Serra ES Auditor Fiscal,437_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=437_1&tV=0,Ranking dos Concursos,2026-04-20T15:35:01.059Z,778,0,0
ISS SERRA NEGRA SP AGENTE DE FISCALIZAÇÃO TRIBUTÁRIA #,554_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=554_1&tV=0,Ranking dos Concursos,2026-04-20T15:35:14.803Z,152,1,0
ISS Sete Lagoas AUDITOR TEC FISCAL DE TRIBUTOS MUNICIPAIS I,519_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=519_1&tV=0,Ranking dos Concursos,2026-04-20T15:35:21.310Z,58,0,0
ISS Sinop FISCAL TRIBUTÁRIO,747_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=747_1&tV=0,Ranking dos Concursos,2026-04-20T15:35:40.213Z,211,0,0
ISS Sobral Auditor Fiscal de Tributos Municipais,54_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=54_1&tV=0,Ranking dos Concursos,2026-04-20T15:35:45.815Z,47,0,5
ISS Sorocaba Auditor Fiscal,385_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=385_1&tV=0,Ranking dos Concursos,2026-04-20T15:35:50.569Z,35,0,1
ISS SP AFTM: Gestão Tributária,218_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=218_1&tV=0,Ranking dos Concursos,2026-04-20T15:35:56.619Z,109,56,37
ISS SP AFTM: Tecnologia da Informação,218_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=218_2&tV=0,Ranking dos Concursos,2026-04-20T15:35:58.774Z,4,0,4
ISS Suzano AGENTE FISCAL TRIBUTÁRIO,555_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=555_1&tV=0,Ranking dos Concursos,2026-04-20T15:36:35.849Z,401,0,0
ISS Teresina Auditor Fiscal da Receita Municipal,12_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=12_1&tV=0,Ranking dos Concursos,2026-04-20T15:36:42.730Z,60,0,6
